citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,executive_order_number,not_received_for_publication
66 FR 51287, 01-25344,51289.0,https://www.federalregister.gov/documents/2001/10/05/01-25344/presidents-commission-on-excellence-in-special-education,https://www.govinfo.gov/content/pkg/FR-2001-10-05/pdf/01-25344.pdf,Presidential Document,Executive Order,10/05/2001,2001-10-02,51287.0,President's Commission on Excellence in Special Education,13227,
66 FR 51812, 01-25677,51817.0,https://www.federalregister.gov/documents/2001/10/10/01-25677/establishing-the-office-of-homeland-security-and-the-homeland-security-council,https://www.govinfo.gov/content/pkg/FR-2001-10-10/pdf/01-25677.pdf,Presidential Document,Executive Order,10/10/2001,2001-10-08,51812.0,Establishing the Office of Homeland Security and the Homeland Security Council,13228,
66 FR 52013, 01-25788,52013.0,https://www.federalregister.gov/documents/2001/10/11/01-25788/amendment-to-executive-order-13045-extending-the-task-force-on-environmental-health-risks-and-safety,https://www.govinfo.gov/content/pkg/FR-2001-10-11/pdf/01-25788.pdf,Presidential Document,Executive Order,10/11/2001,2001-10-09,52013.0,"Amendment to Executive Order 13045, Extending the Task Force on Environmental Health Risks and Safety Risks to Children",13229,
66 FR 52841, 01-26339,52843.0,https://www.federalregister.gov/documents/2001/10/17/01-26339/presidents-advisory-commission-on-educational-excellence-for-hispanic-americans,https://www.govinfo.gov/content/pkg/FR-2001-10-17/pdf/01-26339.pdf,Presidential Document,Executive Order,10/17/2001,2001-10-12,52841.0,President's Advisory Commission on Educational Excellence for Hispanic Americans,13230,
66 FR 53063, 01-26509,53071.0,https://www.federalregister.gov/documents/2001/10/18/01-26509/critical-infrastructure-protection-in-the-information-age,https://www.govinfo.gov/content/pkg/FR-2001-10-18/pdf/01-26509.pdf,Presidential Document,Executive Order,10/18/2001,2001-10-16,53063.0,Critical Infrastructure Protection in the Information Age,13231,
66 FR 53941, 01-26990,53941.0,https://www.federalregister.gov/documents/2001/10/24/01-26990/further-amendment-to-executive-order-10789-as-amended-to-authorize-the-department-of-health-and,https://www.govinfo.gov/content/pkg/FR-2001-10-24/pdf/01-26990.pdf,Presidential Document,Executive Order,10/24/2001,2001-10-20,53941.0,"Further Amendment to Executive Order 10789, as Amended, To Authorize the Department of Health and Human Services To Exercise Certain Contracting Authority in Connection With National Defense Functions",13232,
66 FR 56025, 01-27917,56029.0,https://www.federalregister.gov/documents/2001/11/05/01-27917/further-implementation-of-the-presidential-records-act,https://www.govinfo.gov/content/pkg/FR-2001-11-05/pdf/01-27917.pdf,Presidential Document,Executive Order,11/05/2001,2001-11-01,56025.0,Further Implementation of the Presidential Records Act,13233,
66 FR 57355, 01-28762,57356.0,https://www.federalregister.gov/documents/2001/11/15/01-28762/presidential-task-force-on-citizen-preparedness-in-the-war-on-terrorism,https://www.govinfo.gov/content/pkg/FR-2001-11-15/pdf/01-28762.pdf,Presidential Document,Executive Order,11/15/2001,2001-11-09,57355.0,Presidential Task Force on Citizen Preparedness in the War on Terrorism,13234,
66 FR 58343, 01-29219,58343.0,https://www.federalregister.gov/documents/2001/11/20/01-29219/national-emergency-construction-authority,https://www.govinfo.gov/content/pkg/FR-2001-11-20/pdf/01-29219.pdf,Presidential Document,Executive Order,11/20/2001,2001-11-16,58343.0,National Emergency Construction Authority,13235,
66 FR 59671, 01-29831,59671.0,https://www.federalregister.gov/documents/2001/11/29/01-29831/waiver-of-dual-compensation-provisions-of-the-central-intelligence-agency-retirement-act-of-1964,https://www.govinfo.gov/content/pkg/FR-2001-11-29/pdf/01-29831.pdf,Presidential Document,Executive Order,11/29/2001,2001-11-27,59671.0,Waiver of Dual Compensation Provisions of the Central Intelligence Agency Retirement Act of 1964,13236,
